device_id,paper_id,technology_family,detector_class,material_family,material_composition,device_architecture,device_stack,active_area_cm2,ligand_exchange_status,ligand_exchange_type,ligand_exchange_chemicals,native_ligands,ligand_exchange_target,ligand_exchange_conditions,ligand_exchange_source_location,device_notes
liu-2022-pbs-device,liu-2022-pbs-imager,cqd,photodiode,PbS,Halide-passivated PbS CQDs with an EDT-treated PbS interlayer,Top-illuminated vertical photodiode,ITO or CMOS Au / NiOx (50 nm) / PbS-EDT (30-40 nm) / I-/Br--capped PbS CQDs (400-700 nm) / C60 (15 nm) / ZnO (120 nm) / ITO / Al2O3 (20 nm),,reported,solid_state,"1,2-ethanedithiol (EDT)",oleic acid (OA),,Automatically extracted reported parameters: 0.10 M; 0.04 M; 20 s; 2 min; acetonitrile; octane; DMF; layer-by-layer; spin coating; rinsed.,PDF page 7,Active area for the reported D* measurements is not specified.
shin-2024-inas-device,shin-2024-inas-extended-absorber,cqd,photodiode,InAs,InBr3-passivated InAs CQDs with a 290 nm optimized absorber,Vertical photodiode,ITO / ZnO (50 nm) / InAs CQDs (290 nm) / MoOx (10 nm) / Au (80 nm),,reported,other,indium(III) bromide (InBr3),,CQD absorber,Automatically extracted reported parameters: 300°C.,PDF page 2,The stated 0.6 mm2 area belongs to response-time testing and is not assigned to the D* record.
yang-2022-hgte-device,yang-2022-hgte-ligand,cqd,photodiode,HgTe,Monodisperse ligand-engineered HgTe CQDs,p-on-n vertical photodiode,ITO / Bi2S3 / HgTe CQDs (~500 nm) / Ag-doped HgTe CQDs (~20 nm) / Au,,reported,other,mercury(II) chloride (HgCl2),trioctylphosphine (TOP),,Automatically extracted reported parameters: 300 K; 77 K.,PDF page 3 | PDF page 3 | PDF page 1,Self-powered SWIR photodiode.
wang-2024-hgte-device,wang-2024-hgte-top-imager,cqd,photodiode,HgTe,HgTe CQDs with a blended HgTe/Ag2Te p-type layer,Top-illuminated n-on-p vertical photodiode,ITO / blended HgTe-Ag2Te CQDs / HgTe CQDs / Bi2S3 (~25 nm) / ITO,,reported,solid_state,"1,2-ethanedithiol (EDT) | mercury(II) chloride (HgCl2)",,CQD film,Automatically extracted reported parameters: 2 S.,PDF page 3 | PDF page 3 | PDF page 3,Transparent top-electrode architecture for imager integration.
rastogi-2022-hgte-device,rastogi-2022-cdse-hgte-ag2te,cqd,photodiode,HgTe,CdSe/HgTe/Ag2Te CQD stack,Vertical extended-SWIR photodiode,glass / FTO (70 nm) / CdSe / HgTe CQDs (500 ± 50 nm) / Ag2Te CQDs / Au (80 nm),,reported,solid_state,"1,2-ethanedithiol (EDT) | mercury(II) chloride (HgCl2)",trioctylphosphine (TOP),,Automatically extracted reported parameters: 10 mM; 15 s; 30 s; 2000 rpm; DMF; methanol; acetonitrile; spin- coating; spin-coated; rinsed; dipping.,PDF page 3 | PDF page 3 | PDF page 3,Figure 5 reports two pixel sizes with overlapping D* behavior; no single active area is assigned.
paul-2025-hgte-device,paul-2025-hgte-transparent-electrode,cqd,photodiode,HgTe,HgTe CQDs with Ag2Te hole-transport layer,Top-illuminated vertical photodiode,FTO / SnO2 / HgTe CQDs / Ag2Te CQDs / Ag-NW-PVA composite,,reported,solid_state,"1,2-ethanedithiol (EDT) | mercury(II) chloride (HgCl2) | hydrochloric acid (HCl)",,CQD absorber | CQD film,Automatically extracted reported parameters: 80 K; Dipping; rinse.,PDF page 13 | PDF page 13 | PDF page 13,Solution-processed transparent top contact.
yu-2024-hgte-me4pacz-device,yu-2024-hgte-sam,cqd,photodiode,HgTe,Se-capped HgTe absorber with an Ag:HgTe hole-transport layer and Me-4PACz interface,Top-illuminated n-on-p vertical photodiode,ITO / Me-4PACz / Ag:HgTe CQDs (~100 nm) / Se:HgTe CQDs (~400 nm) / Bi2S3 (15 nm) / ITO (150 nm),,ambiguous,solid_state,,,CQD film,Automatic text extraction identified the exchange chemistry and process; consult the cited source for recipe details.,PDF page 3,Optimized self-assembled-monolayer device.
yu-2024-hgte-bare-device,yu-2024-hgte-sam,cqd,photodiode,HgTe,Se-capped HgTe absorber with an Ag:HgTe hole-transport layer,Top-illuminated n-on-p vertical photodiode,ITO / Ag:HgTe CQDs (~100 nm) / Se:HgTe CQDs (~400 nm) / Bi2S3 (15 nm) / ITO (150 nm),,ambiguous,solid_state,,,CQD film,Automatic text extraction identified the exchange chemistry and process; consult the cited source for recipe details.,PDF page 3,Bare-ITO control device without a self-assembled monolayer.
wang-2023-pbs-oxidized-device,wang-2023-pbs-oxidation,cqd,photodiode,PbS,Halide-passivated PbS absorber with a controlled-oxidation PbS-EDT hole-transport layer,p-on-n vertical photodiode,ITO / ZnO (180 nm) / PbS-halide CQDs (350 nm) / oxidized PbS-EDT CQDs (40 nm) / Au,0.0414,reported,solid_state,"1,2-ethanedithiol (EDT)",trioctylphosphine (TOP),hole-transport layer | electron-transport layer,Automatically extracted reported parameters: spin-coated.,PDF page 2 | PDF page 3 | PDF page 3,Optimized device annealed in air to oxidize and passivate the PbS-EDT layer.
wang-2023-pbs-control-device,wang-2023-pbs-oxidation,cqd,photodiode,PbS,Halide-passivated PbS absorber with an untreated PbS-EDT hole-transport layer,p-on-n vertical photodiode,ITO / ZnO (180 nm) / PbS-halide CQDs (350 nm) / PbS-EDT CQDs (40 nm) / Au,0.0414,reported,solid_state,"1,2-ethanedithiol (EDT)",trioctylphosphine (TOP),hole-transport layer | electron-transport layer,Automatically extracted reported parameters: spin-coated.,PDF page 2 | PDF page 3 | PDF page 3,Untreated control device.
chen-2014-hgte-plasmonic-device,chen-2014-hgte-au-nanorods,cqd,photodiode,HgTe,Aqueous thioglycerol-capped HgTe CQDs with embedded Au nanorods,HgTe CQD/ZnO heterojunction photodiode,ITO / ZnO with Au nanorods and 4.5 nm ZnO overcoat (30 nm total ZnO) / HgTe CQDs (~160 nm) / MoO3 (10 nm) / Au (60 nm),,not_reported,,,,,,,Plasmonic device used for the Figure 7 detectivity comparison.
chen-2014-hgte-control-device,chen-2014-hgte-au-nanorods,cqd,photodiode,HgTe,Aqueous thioglycerol-capped HgTe CQDs,HgTe CQD/ZnO heterojunction photodiode,ITO / ZnO (30 nm) / HgTe CQDs (~160 nm) / MoO3 (10 nm) / Au (60 nm),,not_reported,,,,,,,Control device without Au nanorods.
ackerman-2020-hgte-2200-device,ackerman-2020-hgte-eswir,cqd,photodiode,HgTe,HgCl2-treated and EDT/HCl-cross-linked HgTe CQDs with a 2.2 µm cutoff,Vertical eSWIR photodiode,Sapphire / ITO / HgTe CQDs (~400 nm) / Ag2Te nanoparticles / Au (50 nm),0.01,reported,other,"1,2-ethanedithiol (EDT) | mercury(II) chloride (HgCl2) | hydrochloric acid (HCl)",,CQD film,Automatically extracted reported parameters: 10 mM; 300 K; methanol; isopropanol.,PDF page 3 | PDF page 4 | PDF page 4,Approximate 1 mm2 optical area converted to 0.01 cm2.
ackerman-2020-hgte-2500-device,ackerman-2020-hgte-eswir,cqd,photodiode,HgTe,HgCl2-treated and EDT/HCl-cross-linked HgTe CQDs with a 2.5 µm cutoff,Vertical eSWIR photodiode,Sapphire / ITO / HgTe CQDs (~400 nm) / Ag2Te nanoparticles / Au (50 nm),0.01,reported,other,"1,2-ethanedithiol (EDT) | mercury(II) chloride (HgCl2) | hydrochloric acid (HCl)",,CQD film,Automatically extracted reported parameters: 10 mM; 300 K; methanol; isopropanol.,PDF page 3 | PDF page 4 | PDF page 4,Approximate 1 mm2 optical area converted to 0.01 cm2.
ahn-2024-ag2te-mpa-device,ahn-2024-ag2te-fast-eswir,cqd,photodiode,Ag2Te,MPA-exchanged Ag2Te CQDs,Vertical p-n photodiode,ITO (70 nm) / ZnO (30 nm) / MPA-Ag2Te CQDs (236 nm) / MoO3 (10 nm) / Au (100 nm),0.1,reported,solid_state,3-mercaptopropionic acid (MPA),oleic acid (OA) | dodecanethiol (DDT),,Automatically extracted reported parameters: 5vol%; layer-by-layer.,PDF page 7 | PDF page 7,Detectivity device using 3-mercaptopropionic acid surface ligands.
peng-2024-insb-inp-device,peng-2024-insb-inp,cqd,photodiode,InSb,InSb/InP core-shell CQDs with InI3 solid-state ligand exchange,Vertical SWIR photodiode,ITO / TiO2 (~40 nm) / InSb-InP CQDs / MoOx (10 nm) / Au (100 nm),0.0314,reported,solid_state,indium(III) iodide (InI3),oleic acid (OA),,Automatic text extraction identified the exchange chemistry and process; consult the cited source for recipe details.,PDF page 2 | PDF page 4 | PDF page 5,Area used in the published measured-noise detectivity calculation.
muhammad-2023-insb-device,muhammad-2023-insb-halide,cqd,photodiode,InSb,Halide-passivated InSb CQDs produced using ZnBr2-assisted synthesis,Vertical SWIR photodiode,ITO / ZnO nanoparticles / InSb CQDs / MoO3 (10 nm) / Ag (140 nm),,reported,solution_phase,halide,,CQD absorber | CQD film,Automatic text extraction identified the exchange chemistry and process; consult the cited source for recipe details.,PDF page 1 | PDF page 6 | PDF page 6,Active area is not reported in the main article.
wang-2024-ag2te-main-device,wang-2024-ag2te-imager,cqd,photodiode,Ag2Te,EDT-exchanged Ag2Te CQDs with an AgBiS2 nanocrystal buffer layer,Vertical broadband SWIR photodiode,ITO / SnO2 (~20 nm) / AgBiS2 NCs / Ag2Te CQDs (~100 nm) / Au (100 nm),0.031,reported,other,"1,2-ethanedithiol (EDT)",trioctylphosphine (TOP),,Automatically extracted reported parameters: 30 s; acetonitrile; spin coated.,PDF page 8 | PDF page 4 | PDF page 2,Main bottom-illuminated photodiode.
wang-2024-ag2te-1520-device,wang-2024-ag2te-imager,cqd,photodiode,Ag2Te,Larger EDT-exchanged Ag2Te CQDs with a 1520 nm absorption peak and AgBiS2 buffer layer,Vertical SWIR photodiode,ITO / SnO2 (~20 nm) / AgBiS2 NCs / Ag2Te CQDs (~100 nm) / Au (100 nm),0.031,reported,other,"1,2-ethanedithiol (EDT)",trioctylphosphine (TOP),,Automatically extracted reported parameters: 30 s; acetonitrile; spin coated.,PDF page 8 | PDF page 4 | PDF page 2,Large-QD device reported separately in Supplementary Figure 13.
chen-2023-hgte-pin-device,chen-2023-hgte-universal-homojunction,cqd,photodiode,HgTe,Remote-doped n-type intrinsic and p-type HgTe CQD inks,Normal p-i-n homojunction,Al2O3 / ITO (50 nm) / n-HgTe CQDs (70-80 nm) / intrinsic HgTe CQDs (360 nm) / p-HgTe CQDs (80 nm) / Au (50 nm),0.0004,reported,solution_phase,"1,2-ethanedithiol (EDT) | mercury(II) chloride (HgCl2) | hydrochloric acid (HCl)",,CQD film,Automatically extracted reported parameters: 2S; 10 s; spin-coating; rinsed.,PDF page 2 | PDF page 7 | PDF page 7,Same architecture was fabricated with four CQD sizes spanning 1.5 to 3.6 µm.
chen-2023-hgte-nip-device,chen-2023-hgte-universal-homojunction,cqd,photodiode,HgTe,Remote-doped p-type intrinsic and n-type HgTe CQD inks,Inverted n-i-p homojunction,Al2O3 / Zr:ITO (50 nm) / p-HgTe CQDs (80 nm) / intrinsic HgTe CQDs (360 nm) / n-HgTe CQDs (70 nm) / Al (50 nm),0.0004,reported,solution_phase,"1,2-ethanedithiol (EDT) | mercury(II) chloride (HgCl2) | hydrochloric acid (HCl)",,CQD film,Automatically extracted reported parameters: 2S; 10 s; spin-coating; rinsed.,PDF page 2 | PDF page 7 | PDF page 7,Inverted architecture fabricated with four CQD sizes spanning 1.5 to 3.6 µm.
xue-2023-hgte-gradient-pin-device,xue-2023-hgte-gradient-homojunction,cqd,photodiode,HgTe,Gradient-doped HgTe CQDs with strong and weak n-type and p-type layers,Gradient p-i-n homojunction,Al2O3 / ITO (50 nm) / strong n-HgTe (60 nm) / weak n-HgTe (40 nm) / intrinsic HgTe (300 nm) / weak p-HgTe (40 nm) / strong p-HgTe (60 nm) / Au (50 nm),0.0004,reported,mixed,"1,2-ethanedithiol (EDT) | mercury(II) chloride (HgCl2) | hydrochloric acid (HCl)",,CQD film | CQD ink,Automatically extracted reported parameters: 10 s; 1 s; 2S; DMF; phase transfer; spin-coating; rinsed.,PDF page 2 | PDF page 2 | PDF page 9,High-mobility gradient homojunction measured from 80 to 300 K.
siddik-2025-inas-device,siddik-2025-inas-cmos,cqd,photodiode,InAs,InBr3-treated InAs CQDs with CuI and PTB7-Th hole-transport layers,Vertical PIN heterojunction,Si / TiN / a-IGZO / InBr3-treated InAs CQDs / CuI / PTB7-Th (~13 nm) / MoOx / ITO,,reported,solution_phase,indium(III) bromide (InBr3),oleic acid (OA),,Automatically extracted reported parameters: octane; toluene; DMF.,PDF page 2 | PDF page 2 | PDF page 6,The 0.0625 cm2 area reported for transient testing is not assigned to the spectral D* measurement.
sheikh-2024-inas-znse-device,sheikh-2024-inas-znse,cqd,photodiode,InAs,EDT-exchanged InAs/ZnSe core-shell colloidal nanorod quantum dots,Vertical photodiode,ITO / ZnO / InAs-ZnSe CNQDs (~120 nm) / InAs CQD hole-transport layer / MoOx / Au,0.1,reported,solid_state,"1,2-ethanedithiol (EDT)",,hole-transport layer,Automatically extracted reported parameters: layer-by-layer.,PDF page 5 | PDF page 5 | PDF page 3,The reported 10 mm2 active area was converted to 0.1 cm2.
sun-2022-inas-device,sun-2022-inas-fast,cqd,photodiode,InAs,InBr3- and ammonium-acetate-treated InAs CQDs,Vertical photodiode,glass / ITO / ZnO / InAs CQDs (~120 nm) / MoO3 (10 nm) / Au (120 nm),0.1,reported,solution_phase,indium(III) bromide (InBr3) | ammonium acetate (NH4OAc),oleic acid (OA) | trioctylphosphine (TOP),CQD film,Automatically extracted reported parameters: 10 s; 1 H; 2500 rpm; octane; acetonitrile; DMF; spin-coated.,PDF page 7 | PDF page 2,The separate 2 ns response-time measurement used a smaller-area device and is not assigned to the D* record.
device-798a7e0d2116-1,paper-798a7e0d2116,cqd,photodiode,Ag2Te,Ag2Te,CQD photodiode; exact architecture requires curator confirmation,ITO/SnO2/BiCl3/Ag2Te QDs/P3HT/MoO3/Ag,0.06,source_unavailable,,,,,,,"Automatically staged from full text; confirm absorber, junction type, stack order, and area against the cited source locations."
lee-2026-hgcdse-qd2-device,lee-2026-hgcdse-neutralized,cqd,photodiode,HgCdSe,Hg0.95Cd0.05Se QD(2) with optimized 80 °C DDT surface treatment,Vertical CQD photodiode,glass / ITO / SnO2 / HgCdSe QD(2) / Spiro-MeOTAD / MoO3 (4 nm) / Ag (100 nm),0.05,reported,solid_state,1-dodecanethiol (DDT),dodecanethiol (DDT),,Automatically extracted reported parameters: 1S; 80 °C.,PDF page 1 | PDF page 3 | PDF page 3,Surface-neutralized QD(2) active layer with intrinsic electronic character and suppressed leakage current.
lee-2026-hgcdse-qd1-device,lee-2026-hgcdse-neutralized,cqd,photodiode,HgCdSe,Hg0.95Cd0.05Se QD(1) with room-temperature DDT surface treatment,Vertical CQD photodiode,glass / ITO / SnO2 / HgCdSe QD(1) / Spiro-MeOTAD / MoO3 (4 nm) / Ag (100 nm),0.05,reported,solid_state,1-dodecanethiol (DDT),dodecanethiol (DDT),,Automatically extracted reported parameters: 1S; 80 °C.,PDF page 1 | PDF page 3 | PDF page 3,Comparison QD(1) active layer retaining partial n-type doping and higher noise.
park-2026-inas-oldp-device,park-2026-internal-field,cqd,photodiode,InAs,Optimized internal-field-tailored InAs CQDs with n-type and low- and high-doping-potential layers,Vertical CQD photodiode,ITO / ZnO / n-InAs / LDP / HDP / MoOx / Ag,0.002,source_unavailable,,,,,,,Optimized o-LDP InAs device; the response-time measurement reports 24 ns rise and 210 ns fall times.
park-2026-inas-ldp-device,park-2026-internal-field,cqd,photodiode,InAs,InAs CQDs with an LDP hole-transport layer,Vertical CQD photodiode,ITO / ZnO / n-InAs / LDP / MoOx / Ag,0.002,source_unavailable,,,,,,,LDP comparison device used for the directly reported 1500 nm detectivity.
park-2026-pbs-ldp-device,park-2026-internal-field,cqd,photodiode,PbS,PbS CQDs with an LDP hole-transport layer,Vertical CQD photodiode,PbS-I / light PbS-EDT / MoOx / Au,,source_unavailable,other,"1,2-ethanedithiol (EDT)",,hole-transport layer,"Existing curated device metadata indicates a ligand or surface treatment, but the source set was unavailable for method verification: PbS CQDs with an LDP hole-transport layer",,LDP PbS comparison device; only the partial stack reported with the detectivity comparison is retained.
park-2026-pbs-hdp-device,park-2026-internal-field,cqd,photodiode,PbS,PbS CQDs with an HDP hole-transport layer,Vertical CQD photodiode,PbS-I / light PbS-EDT / MoOx / Au,,source_unavailable,other,"1,2-ethanedithiol (EDT)",,hole-transport layer,"Existing curated device metadata indicates a ligand or surface treatment, but the source set was unavailable for method verification: PbS CQDs with an HDP hole-transport layer",,HDP PbS comparison device; only the partial stack reported with the detectivity comparison is retained.
huang-2026-cdte-hgte-edt-device,huang-2026-cdte-hgte-htl,cqd,photodiode,HgTe,Se:HgTe CQD absorber with an EDT-treated CdTe/HgTe core-shell CQD hole-transport layer,p-on-n CQD photodiode,quartz / ITO / Bi2S3 (5 nm) / Se:HgTe CQDs (~450 nm) / EDT-treated CdTe-HgTe CQDs (~100 nm) / Au,0.0782,reported,solid_state,"1,2-ethanedithiol (EDT) | mercury(II) chloride (HgCl2) | hydrochloric acid (HCl)",,CQD film,Automatically extracted reported parameters: 50 mg/mL; 0.01 M; v/v = 1:2500; 30 s; 20 s; 60 s; 2500 rpm; methanol; DMF; spin-coating; washing; spin coating.,PDF page 3 | PDF page 3 | PDF page 3,The detectivity calculation uses 0.0782 cm2; the fabrication section separately reports 0.0786 cm2.
huang-2026-cdte-hgte-untreated-device,huang-2026-cdte-hgte-htl,cqd,photodiode,HgTe,Se:HgTe CQD absorber with an untreated CdTe/HgTe core-shell CQD hole-transport layer,p-on-n CQD photodiode,quartz / ITO / Bi2S3 (5 nm) / Se:HgTe CQDs (~450 nm) / untreated CdTe-HgTe CQDs (~100 nm) / Au,0.0782,reported,solid_state,"1,2-ethanedithiol (EDT) | mercury(II) chloride (HgCl2) | hydrochloric acid (HCl)",,CQD film,Automatically extracted reported parameters: 50 mg/mL; 0.01 M; v/v = 1:2500; 30 s; 20 s; 60 s; 2500 rpm; methanol; DMF; spin-coating; washing; spin coating.,PDF page 3 | PDF page 3 | PDF page 3,The detectivity calculation uses 0.0782 cm2; the fabrication section separately reports 0.0786 cm2.
xia-2025-pbse-1640-device,xia-2025-pbse-mle,cqd,photodiode,PbSe,MLE-PbSe CQDs with an approximately 1640 nm excitonic peak,Vertical CQD photodiode,ITO / NiOx / PbS-EDT / PbSe CQDs / C60 / SnO2 / ITO,,reported,ink_phase,halide,,CQD film | CQD ink,Automatically extracted reported parameters: DMF.,PDF page 2 | PDF page 2 | PDF page 2,Conventional-SWIR MLE-PbSe absorber device.
xia-2025-pbse-2360-device,xia-2025-pbse-mle,cqd,photodiode,PbSe,MLE-PbSe CQDs with an approximately 2360 nm excitonic peak,Vertical CQD photodiode,ITO / NiOx / PbS-EDT / PbSe CQDs / C60 / SnO2 / ITO,,reported,ink_phase,halide,,CQD film | CQD ink,Automatically extracted reported parameters: DMF.,PDF page 2 | PDF page 2 | PDF page 2,Extended-SWIR MLE-PbSe absorber device with a spectral cutoff near 2500 nm.
hu-2025-hgte-dh-device,hu-2025-hgte-double-heterojunction,cqd,photodiode,HgTe,Hybrid-ligand-capped HgTe CQDs between ZnO and ZnTe charge-transport layers,Double-heterojunction p-i-n CQD photodiode,glass / bottom ITO / ZnO (200 nm) / HgTe CQDs (~420 nm) / ZnTe (30 nm) / top ITO (100 nm),0.0414,reported,ink_phase,mercury(II) chloride (HgCl2),oleylamine (OLA),CQD film | CQD ink,Automatically extracted reported parameters: DMF; butylamine; spin-coating.,PDF page 3 | PDF page 3 | PDF page 2,Top-illuminated single-pixel photodiode architecture used for the spectral detectivity measurement and subsequent CMOS imager integration.
tran-2026-cd3p2-homojunction-device,tran-2026-cd3p2-polarity,cqd,photodiode,Cd3P2,Cd3P2 CQD absorber with a p-type chloride-treated Cd3P2 CQD charge-selective layer,Cd3P2 CQD homojunction photodiode,ITO / ZnO / Cd3P2 CQD absorber (~100 nm) / p-Cd3P2-Cl (~30 nm) / MoOx (10 nm) / Ag (120 nm),,reported,solid_state,halide,,,Automatically extracted reported parameters: 10 s; spin coating; spin-coated.,PDF page 4 | PDF page 7 | PDF page 8,The 0.002 cm2 area reported for transient testing is not assigned to the detectivity record.
imran-2025-insb-device,imran-2025-insb-metal-halide,cqd,photodiode,InSb,Resurfaced and ligand-exchanged InSb CQDs,n-i-p CQD photodiode,glass / ITO / ZnO / InSb CQDs (~280 nm) / MoOx (14 nm) / Ag (140 nm),0.049,reported,solid_state,tetrabutylammonium iodide (TBAI) | ammonium iodide (NH4I),dodecanethiol (DDT),CQD film,Automatic text extraction identified the exchange chemistry and process; consult the cited source for recipe details.,PDF page 5,The CQD layers use sequential malonic-acid TBAI and NH4I solid-state ligand exchange.
